학원,금액,승인 날짜,거래처,결제 주기
C&C 미술,"180,000",25/04/04,신한체크,1M
와이즈리더_종료,"780,000",25/04/14,신한카드,3M
하연과학,"85,000",25/05/08,신한은행,1M
세차,"70,000",25/05/14,신한은행,1M
농구,"282,000",25/05/25,신한은행,1M
김영아,"340,000",25/05/26,신한카드,3M
기파랑,"220,000",25/05/28,신한카드,3M
하연과학,"85,000",25/06/04,신한은행,1M
세차,"60,000",25/06/11,신한은행,1M
기파랑,"220,000",25/06/25,신한체크,1M
김영아,"340,000",25/06/25,신한체크,1M
C&C 미술,"180,000",25/07/05,신한체크,1M
하연과학,"85,000",25/07/09,신한은행,1M
세차,"60,000",25/07/10,신한은행,1M
기파랑,"240,000",25/07/25,신한체크,1M
김영아,"340,000",25/07/27,신한체크,1M
C&C 미술,"180,000",25/08/02,신한체크,1M
와이즈리더_종료,"325,000",25/08/08,신한체크,1M
영어과외,"240,000",25/08/18,신한은행,1M
세차,"60,000",25/08/21,신한은행,1M
김영아,"390,000",25/08/25,카카오뱅크,1M
농구,"282,000",25/08/25,신한은행,1M
늘품재논술,"92,000",25/09/04,카카오뱅크,1M
하연과학,"85,000",25/09/04,신한은행,1M
C&C 미술,"180,000",25/09/06,신한체크,1M
기파랑,"60,000",25/09/17,카카오뱅크,1M
늘품재논술,"184,000",25/09/17,신한은행,1M
영어과외,"240,000",25/09/17,신한은행,1M
김영아,"390,000",25/09/25,신한체크,1M
세차,"60,000",25/10/14,신한은행,1M
하연과학,"85,000",25/10/15,신한은행,1M
영어과외,"240,000",25/10/24,신한은행,1M
김영아,"390,000",25/10/25,신한체크,1M
늘품재논술,"138,000",25/10/28,신한은행,1M
C&C 미술,"180,000",25/11/01,신한은행,1M
세차,"60,000",25/11/12,신한은행,1M
영어과외,"240,000",25/11/23,신한은행,1M
김영아,"390,000",25/11/25,신한카드,1M
C&C 미술,"180,000",25/12/06,신한은행,1M
늘품재논술,"184,000",25/12/09,신한은행,1M
하연과학,"85,000",25/12/10,신한은행,1M
세차,"60,000",25/12/17,신한은행,1M
